127.0.0.1, 2018-10-27 23:05:58, GET, /, HTTP/1.1, 303, 0.828000
127.0.0.1, 2018-10-27 23:05:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.112000
127.0.0.1, 2018-10-27 23:05:58, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-27 23:06:03, GET, /admin/default/index, HTTP/1.1, 303, 0.131000
127.0.0.1, 2018-10-27 23:06:03, GET, /admin/default/site, HTTP/1.1, 200, 0.117000
127.0.0.1, 2018-10-27 23:06:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:12:40, GET, /, HTTP/1.1, 303, 0.831000
127.0.0.1, 2018-10-27 23:12:40, GET, /welcome/default/index, HTTP/1.1, 200, 0.193000
127.0.0.1, 2018-10-27 23:12:40, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-10-27 23:12:42, GET, /admin/default/index, HTTP/1.1, 303, 0.128000
127.0.0.1, 2018-10-27 23:12:42, GET, /admin/default/site, HTTP/1.1, 200, 0.061000
127.0.0.1, 2018-10-27 23:12:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:12:43, GET, /TutorPlus/default/index, HTTP/1.1, 200, 0.203000
127.0.0.1, 2018-10-27 23:12:43, GET, /TutorPlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:12:43, GET, /TutorPlus/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-10-27 23:12:43, GET, /TutorPlus/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-10-27 23:12:44, GET, /TutorPlus/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-27 23:13:30, GET, /, HTTP/1.1, 303, 0.829000
127.0.0.1, 2018-10-27 23:13:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.129000
127.0.0.1, 2018-10-27 23:13:30, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-10-27 23:13:33, GET, /admin/default/index, HTTP/1.1, 303, 0.128000
127.0.0.1, 2018-10-27 23:13:33, GET, /admin/default/site, HTTP/1.1, 200, 0.055000
127.0.0.1, 2018-10-27 23:13:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-10-27 23:13:34, GET, /TutorPlus/default/index, HTTP/1.1, 200, 0.074000
127.0.0.1, 2018-10-27 23:13:34, GET, /TutorPlus/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-27 23:13:34, GET, /TutorPlus/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-10-27 23:13:34, GET, /TutorPlus/static/css/calendar.css, HTTP/1.1, 200, 0.003000
